Group,Levels,SubjectID,Run,A_C1W1T0,A_C2W1T0,L_C1W1T0,L_C2W1T0,A_C1W2T0,A_C2W2T0,L_C1W2T0,L_C2W2T0,A_C1W3T0,A_C2W3T0,L_C1W3T0,L_C2W3T0,A_C1W4T0,A_C2W4T0,L_C1W4T0,L_C2W4T0,A_C1W5T0,A_C2W5T0,L_C1W5T0,L_C2W5T0,lC_C1W1T0,cC_C1W1T0,rC_C1W1T0,lC_C1W2T0,cC_C1W2T0,rC_C1W2T0,lC_C1W3T0,cC_C1W3T0,rC_C1W3T0,lC_C1W4T0,cC_C1W4T0,rC_C1W4T0,lC_C1W5T0,cC_C1W5T0,rC_C1W5T0,lC_C2W1T0,cC_C2W1T0,rC_C2W1T0,lC_C2W2T0,cC_C2W2T0,rC_C2W2T0,lC_C2W3T0,cC_C2W3T0,rC_C2W3T0,lC_C2W4T0,cC_C2W4T0,rC_C2W4T0,lC_C2W5T0,cC_C2W5T0,rC_C2W5T0,A_C1W1T2,A_C2W1T2,L_C1W1T2,L_C2W1T2,A_C1W2T2,A_C2W2T2,L_C1W2T2,L_C2W2T2,A_C1W3T2,A_C2W3T2,L_C1W3T2,L_C2W3T2,A_C1W4T2,A_C2W4T2,L_C1W4T2,L_C2W4T2,A_C1W5T2,A_C2W5T2,L_C1W5T2,L_C2W5T2,lC_C1W1T2,cC_C1W1T2,rC_C1W1T2,lC_C1W2T2,cC_C1W2T2,rC_C1W2T2,lC_C1W3T2,cC_C1W3T2,rC_C1W3T2,lC_C1W4T2,cC_C1W4T2,rC_C1W4T2,lC_C1W5T2,cC_C1W5T2,rC_C1W5T2,lC_C2W1T2,cC_C2W1T2,rC_C2W1T2,lC_C2W2T2,cC_C2W2T2,rC_C2W2T2,lC_C2W3T2,cC_C2W3T2,rC_C2W3T2,lC_C2W4T2,cC_C2W4T2,rC_C2W4T2,lC_C2W5T2,cC_C2W5T2,rC_C2W5T2 
control,90_90,21081-1,1,5.63E-06,5.91E-06,1.352459016,11.2704918,6.68E-06,5.94E-06,1.926229508,11.8442623,6.34E-06,6.77E-06,2.663934426,12.58196721,3.63E-06,3.66E-06,3.606557377,13.60655738,1.28E-06,8.73E-07,4.467213115,15.6147541,0.000122822,0.000168606,0.000161849,0.000252166,0.0003752,0.000122037,0.000163297,0.000183733,0.000110878,0.000102726,0.000111845,5.37E-05,5.83E-05,6.14E-05,3.11E-05,0.000120848,0.000151086,0.000158289,0.000170278,0.000396271,0.000205857,0.000129388,0.000237094,0.00018359,0.000116508,8.79E-05,2.88E-05,3.95E-05,5.17E-05,2.94E-05,5.35E-06,5.93E-06,1.229508197,11.14754098,8.03E-06,7.60E-06,1.885245902,11.8442623,9.30E-06,9.06E-06,2.62295082,12.54098361,2.58E-06,1.35E-06,3.483606557,13.85245902,,,,,0.000173153,0.000147551,5.20E-05,0.000124153,0.00042042,0.000271076,0.000199703,0.000331216,0.00021147,2.68E-05,5.66E-05,5.94E-05,,,,0.000183402,0.000156253,4.76E-05,0.00026271,0.000421866,0.000151529,0.000177375,0.000333687,0.00023184,3.73E-06,2.89E-05,3.48E-05,,,
control,90_90,21081-1,2,5.85E-06,6.34E-06,1.352459016,11.2704918,6.72E-06,6.22E-06,1.926229508,11.8442623,6.87E-06,7.25E-06,2.663934426,12.62295082,4.03E-06,3.25E-06,3.606557377,13.60655738,1.55E-06,8.96E-07,4.426229508,15.6147541,0.000133451,0.000172426,0.000159485,0.000248533,0.00037428,0.000129053,0.0001679,0.000193893,0.000123133,9.99E-05,0.000117931,6.42E-05,5.02E-05,6.37E-05,4.11E-05,0.000118359,0.000157014,0.000170747,0.000181759,0.00039962,0.000201236,0.000210474,0.00024538,0.000132385,0.000120174,9.46E-05,3.22E-05,4.13E-05,5.22E-05,2.86E-05,5.50E-06,5.68E-06,1.229508197,11.14754098,8.03E-06,7.71E-06,1.885245902,11.80327869,9.94E-06,9.67E-06,2.581967213,12.5,2.59E-06,1.42E-06,3.483606557,13.85245902,3.56E-08,,4.87704918,,0.000172726,0.000136074,6.22E-05,0.000224445,0.000427232,0.000181351,0.000178344,0.000353834,0.000249622,4.31E-05,8.09E-05,6.14E-05,3.29E-05,1.72E-05,1.02E-05,0.000179417,0.000130007,4.48E-05,0.000165675,0.000445055,0.000253673,0.000149619,0.000355099,0.000278092,1.77E-06,3.64E-05,4.60E-05,,,
control,90_90,21081-1,3,6.26E-06,6.33E-06,1.31147541,11.2704918,7.33E-06,6.44E-06,1.926229508,11.8442623,6.85E-06,7.42E-06,2.663934426,12.62295082,3.77E-06,3.27E-06,3.606557377,13.60655738,1.05E-06,1.56E-06,4.467213115,15.6147541,0.000101465,0.000161986,0.000186352,0.000258229,0.000382851,0.000133372,0.000164042,0.000198916,0.000133174,0.000106536,0.000122843,6.57E-05,5.39E-05,5.15E-05,2.35E-05,0.000114508,0.000151344,0.000173395,0.000181925,0.000406768,0.000210635,0.000217788,0.000250238,0.000131738,0.000122441,9.04E-05,2.80E-05,4.17E-05,4.43E-05,1.87E-05,5.66E-06,5.74E-06,1.229508197,11.10655738,8.15E-06,7.88E-06,1.844262295,11.80327869,9.59E-06,1.00E-05,2.581967213,12.5,2.44E-06,1.81E-06,3.442622951,13.81147541,1.28E-07,,4.795081967,,0.000168972,0.000128271,7.30E-05,0.000109155,0.000428621,0.000288764,0.000266541,0.00036569,0.000183266,2.94E-05,7.39E-05,7.07E-05,3.56E-05,3.30E-05,6.01E-06,0.000151755,0.000168586,7.67E-05,0.000259079,0.000456687,0.000178761,0.000250262,0.000379234,0.000202408,3.50E-06,4.89E-05,5.84E-05,,,
control,90_90,21081-2,1,7.14E-06,7.10E-06,1.31147541,11.2295082,6.28E-06,4.79E-06,1.967213115,11.8852459,8.88E-06,8.99E-06,2.663934426,12.62295082,5.21E-06,3.55E-06,3.647540984,13.68852459,1.44E-06,1.18E-06,4.549180328,14.50819672,0.000135834,0.000141367,0.000154228,0.000311594,0.000292246,1.30E-05,0.000182335,0.000319244,0.000145094,0.000147304,0.000171974,0.000102291,6.61E-05,8.06E-05,3.47E-05,0.000147767,0.00012632,0.000125829,0.00026995,0.000365358,7.20E-05,0.000214292,0.000265041,0.000102348,9.91E-05,5.41E-05,3.31E-05,3.29E-05,5.34E-05,3.08E-05,5.40E-06,5.53E-06,1.229508197,11.14754098,4.16E-06,3.59E-06,1.926229508,11.8442623,4.42E-06,4.42E-06,2.62295082,12.54098361,2.57E-06,2.33E-06,3.647540984,13.64754098,7.63E-07,7.12E-07,4.508196721,14.50819672,0.000107341,0.000120201,9.16E-05,0.000222832,0.000244462,9.18E-06,7.23E-05,0.000175139,9.02E-05,8.84E-05,8.88E-05,4.22E-05,1.75E-05,2.66E-05,2.17E-05,0.000138569,0.000140519,7.26E-05,0.000200315,0.000284064,5.79E-05,6.69E-05,0.000156101,7.57E-05,5.86E-05,4.73E-05,2.77E-05,1.65E-05,2.96E-05,1.71E-05
control,90_90,21081-2,2,7.29E-06,7.15E-06,1.31147541,11.2295082,6.07E-06,4.91E-06,1.967213115,11.8852459,8.86E-06,9.14E-06,2.663934426,12.62295082,5.05E-06,3.50E-06,3.68852459,13.68852459,1.53E-06,9.39E-07,4.549180328,14.50819672,0.000140056,0.000143287,0.000154288,0.000304216,0.000301617,3.62E-06,0.000178232,0.000327169,0.000156017,0.000159357,0.000153085,7.64E-05,7.21E-05,9.27E-05,3.95E-05,0.000146823,0.000128366,0.000128926,0.00025973,0.000361955,7.48E-05,0.000209637,0.000274947,0.000115351,0.000105035,6.36E-05,3.52E-05,1.92E-05,4.17E-05,3.15E-05,5.30E-06,5.33E-06,1.229508197,11.14754098,4.20E-06,3.55E-06,1.885245902,11.8442623,4.70E-06,4.67E-06,2.62295082,12.54098361,2.55E-06,2.29E-06,3.606557377,13.60655738,7.02E-07,8.43E-07,4.467213115,14.46721311,0.000106995,0.000117768,9.44E-05,0.000147334,0.000265568,8.01E-05,0.000120647,0.000161524,3.92E-05,8.35E-05,8.46E-05,4.08E-05,2.33E-05,3.18E-05,1.78E-05,0.00013415,0.000127142,6.89E-05,0.000238219,0.000245202,5.33E-06,0.00010699,0.000150443,4.47E-05,5.92E-05,4.80E-05,2.83E-05,1.22E-05,2.57E-05,1.95E-05
control,90_90,21081-2,3,7.73E-06,7.34E-06,1.31147541,11.2295082,6.22E-06,4.90E-06,1.967213115,11.8852459,9.20E-06,9.14E-06,2.663934426,12.62295082,4.96E-06,3.35E-06,3.68852459,13.7295082,1.49E-06,1.19E-06,4.549180328,14.50819672,0.000141447,0.000157078,0.000169319,0.000316506,0.000301503,5.62E-06,0.000192125,0.000331755,0.00015597,0.000161616,0.000156868,7.64E-05,7.31E-05,8.60E-05,3.19E-05,0.000148749,0.000130178,0.000129975,0.000260299,0.000369427,8.10E-05,0.000205173,0.000269177,0.000119193,7.89E-05,5.40E-05,4.86E-05,1.80E-05,4.07E-05,3.05E-05,5.00E-06,5.52E-06,1.229508197,11.10655738,4.00E-06,3.56E-06,1.885245902,11.80327869,4.78E-06,4.24E-06,2.581967213,12.5,2.21E-06,2.04E-06,3.56557377,13.60655738,7.34E-07,7.93E-07,4.385245902,14.3852459,0.000109914,0.000114184,9.60E-05,0.000189652,0.000240716,3.28E-05,9.00E-05,0.000175815,7.04E-05,8.55E-05,8.94E-05,4.32E-05,6.08E-06,2.40E-05,2.35E-05,0.000104646,0.000138034,8.75E-05,0.000160692,0.000276262,8.40E-05,7.35E-05,0.000151173,6.84E-05,5.09E-05,3.07E-05,1.44E-05,3.63E-06,1.28E-05,1.91E-05
control,90_90,21081-3,1,8.50E-06,8.45E-06,1.31147541,11.2295082,7.69E-06,8.23E-06,1.926229508,11.8442623,8.86E-06,9.07E-06,2.663934426,12.62295082,6.25E-06,3.94E-06,3.647540984,13.60655738,3.37E-06,2.11E-06,5.573770492,14.3852459,0.000169195,0.000171345,0.00019219,0.000350464,0.000556659,0.000171076,0.000194041,0.000352825,0.000228075,0.000189859,0.000182547,9.69E-05,4.68E-05,3.28E-05,5.30E-06,0.000179741,0.000154872,0.000149216,0.000236148,0.000577335,0.000309662,0.000181395,0.000323904,0.00023291,0.000127188,0.000116764,6.44E-05,1.76E-05,5.96E-05,5.70E-05,7.46E-06,5.97E-06,1.229508197,11.14754098,9.70E-06,8.96E-06,1.967213115,11.8852459,1.06E-05,9.83E-06,2.745901639,12.66393443,3.66E-06,1.38E-06,3.770491803,13.85245902,1.66E-07,2.17E-07,4.959016393,14.87704918,0.000162946,0.000164977,5.66E-05,0.00028025,0.000561599,0.000265608,0.000249472,0.000386325,0.000222513,4.88E-05,7.72E-05,5.83E-05,3.85E-05,1.79E-05,3.02E-06,0.00016365,0.000158662,3.46E-05,0.000196149,0.000489487,0.000301392,0.000167005,0.00033186,0.000263187,4.18E-05,3.63E-05,2.17E-05,2.67E-05,1.94E-05,6.77E-06
control,90_90,21081-3,2,8.85E-06,8.37E-06,1.31147541,11.2295082,7.48E-06,8.05E-06,1.926229508,11.8442623,8.89E-06,9.38E-06,2.663934426,12.58196721,6.54E-06,5.17E-06,3.606557377,13.60655738,3.32E-06,1.82E-06,5.532786885,15.6147541,0.000174915,0.000194684,0.000219367,0.000410263,0.000546096,0.000112144,0.000249597,0.000368765,0.000188497,0.000179259,0.000193084,0.00012135,5.03E-05,3.63E-05,8.89E-06,0.000177071,0.000166592,0.000168221,0.000279493,0.000572464,0.000262719,0.000119429,0.000318471,0.000301778,0.000141231,0.000114003,4.64E-05,4.08E-05,3.57E-05,1.62E-05,7.09E-06,6.03E-06,1.229508197,11.14754098,9.78E-06,9.33E-06,1.926229508,11.8442623,1.15E-05,1.05E-05,2.704918033,12.62295082,4.24E-06,1.71E-06,3.729508197,13.7704918,5.79E-07,3.36E-07,4.87704918,14.75409836,0.000165803,0.000138502,4.56E-05,0.000189732,0.00057481,0.000356496,0.000276044,0.000436336,0.000241915,7.93E-05,0.000124024,9.33E-05,4.46E-05,4.46E-05,2.66E-05,0.000171435,0.000137556,2.44E-05,0.000127681,0.000504326,0.000374131,0.000174586,0.000381469,0.000303951,6.28E-05,4.87E-05,2.40E-05,4.21E-05,2.86E-05,9.22E-06
control,90_90,21081-3,3,9.38E-06,9.10E-06,1.31147541,11.2295082,7.57E-06,8.51E-06,1.885245902,11.8442623,8.94E-06,9.60E-06,2.62295082,12.58196721,6.17E-06,5.71E-06,3.56557377,13.56557377,3.41E-06,1.82E-06,4.385245902,15.57377049,0.000189434,0.000216575,0.000231137,0.000196821,0.000577334,0.000330784,0.000159774,0.000375785,0.000279446,0.000158647,0.000191694,0.000132786,6.71E-05,0.000104484,7.75E-05,0.000175346,0.00018301,0.000200021,0.00034587,0.000581665,0.000209294,0.000152241,0.000330899,0.000280586,0.000133617,0.000127555,6.50E-05,3.77E-05,3.28E-05,1.75E-05,6.81E-06,6.13E-06,1.229508197,11.14754098,9.59E-06,9.39E-06,1.926229508,11.8442623,1.17E-05,1.07E-05,2.663934426,12.62295082,4.32E-06,1.93E-06,3.68852459,13.7295082,9.09E-07,8.96E-08,4.836065574,14.75409836,0.000165402,0.000127426,6.01E-05,0.000333735,0.000585601,0.000213557,0.000237143,0.000449585,0.000287105,9.66E-05,0.000146017,9.90E-05,5.47E-05,5.38E-05,2.63E-05,0.000175517,0.000125567,2.94E-05,0.000256368,0.00053725,0.000261835,0.000294831,0.000397228,0.000203402,7.68E-05,5.34E-05,1.81E-05,3.64E-05,1.78E-05,2.12E-06
control,90_90,21081-4,1,5.04E-06,4.94E-06,1.31147541,11.2295082,4.70E-06,3.86E-06,1.926229508,11.8852459,5.05E-06,5.25E-06,2.663934426,12.62295082,3.84E-06,2.81E-06,3.606557377,13.56557377,2.90E-06,6.34E-08,5.655737705,15,7.04E-05,0.000101885,0.000146022,0.000139232,0.000182109,9.10E-05,0.000108405,0.00015321,9.89E-05,0.000118008,0.000108857,5.06E-05,3.46E-05,1.87E-05,4.82E-06,8.23E-05,0.000103531,0.000134046,0.000174987,0.000125905,2.21E-05,0.000135534,0.00017679,9.64E-05,8.74E-05,8.27E-05,3.27E-05,1.56E-05,1.78E-05,2.61E-06,9.04E-06,9.16E-06,1.270491803,11.18852459,7.47E-06,5.89E-06,1.967213115,11.8852459,8.13E-06,8.80E-06,2.663934426,12.58196721,4.88E-06,3.45E-06,3.606557377,13.64754098,1.98E-07,,4.959016393,,0.000199236,0.000210911,0.000171464,0.000274322,0.000252991,0.000119154,0.000232199,0.000291441,0.000126999,0.000126832,0.000127284,6.87E-05,9.81E-06,1.80E-05,2.57E-06,0.000197365,0.00018895,0.000155064,0.000249419,0.000213747,7.74E-05,0.000193159,0.000329112,0.000193731,9.35E-05,6.36E-05,3.26E-05,,,
control,90_90,21081-4,2,5.02E-06,4.79E-06,1.31147541,11.2295082,4.55E-06,3.60E-06,1.926229508,11.8852459,4.98E-06,5.18E-06,2.663934426,12.62295082,3.88E-06,2.58E-06,3.56557377,13.56557377,3.05E-06,4.09E-08,5.655737705,15,6.81E-05,0.000100002,0.000141323,0.000144856,0.000172756,8.16E-05,0.000118236,0.000154822,9.17E-05,9.46E-05,0.00013136,8.75E-05,3.84E-05,2.35E-05,8.26E-06,7.83E-05,9.90E-05,0.000133223,0.000178272,0.00011525,1.15E-05,0.000142314,0.000183247,9.55E-05,8.50E-05,7.11E-05,2.67E-05,1.50E-05,1.84E-05,1.73E-06,8.91E-06,8.84E-06,1.270491803,11.14754098,6.77E-06,5.71E-06,1.967213115,11.8852459,7.28E-06,8.32E-06,2.62295082,12.58196721,4.34E-06,3.45E-06,3.56557377,13.60655738,3.08E-07,3.94E-07,4.959016393,15.6147541,0.000184683,0.000194947,0.000171339,0.000254895,0.000216473,0.000103732,0.000138567,0.000281353,0.000177664,0.00010159,0.000130541,7.84E-05,1.25E-05,2.12E-05,7.51E-07,0.000164844,0.00019481,0.000155978,0.00025112,0.000188419,6.77E-05,0.000227977,0.000306265,0.000141253,9.65E-05,7.01E-05,3.15E-05,2.92E-05,2.59E-05,9.09E-06
control,90_90,21081-4,3,5.07E-06,4.81E-06,1.31147541,11.2295082,4.81E-06,3.75E-06,1.926229508,11.8852459,5.82E-06,5.38E-06,2.663934426,12.62295082,3.91E-06,2.74E-06,3.56557377,13.56557377,3.39E-06,1.79E-06,5.655737705,15.6147541,6.83E-05,0.000114096,0.000154849,0.000157877,0.000173995,7.87E-05,0.000142366,0.00017039,8.94E-05,0.000111138,0.000130948,7.40E-05,3.39E-05,1.70E-05,4.89E-06,7.03E-05,9.51E-05,0.000136236,0.000178273,0.000117993,2.07E-05,0.00015856,0.000179815,8.34E-05,9.30E-05,7.16E-05,2.47E-05,2.96E-05,3.72E-05,2.18E-05,8.47E-06,8.63E-06,1.270491803,11.14754098,6.55E-06,5.98E-06,1.967213115,11.8852459,7.18E-06,8.25E-06,2.62295082,12.54098361,4.28E-06,3.65E-06,3.524590164,13.56557377,3.45E-06,2.16E-06,5.655737705,15.6147541,0.000177443,0.000189809,0.000171466,0.000255984,0.000195796,9.47E-05,0.000174141,0.000278152,0.000152025,9.21E-05,0.000131427,8.11E-05,3.80E-05,2.44E-05,7.02E-06,0.000161781,0.000186698,0.00015536,0.000260627,0.000169007,6.74E-05,0.000155338,0.00031461,0.000200354,9.59E-05,7.06E-05,3.56E-05,3.39E-05,2.89E-05,8.00E-06
control,90_90,21082-1,1,7.54E-06,8.20E-06,1.31147541,11.18852459,5.79E-06,5.98E-06,1.926229508,11.8442623,5.76E-06,5.95E-06,2.663934426,12.62295082,4.17E-06,2.04E-06,3.68852459,13.7295082,2.32E-06,2.06E-06,4.508196721,14.3852459,0.000177977,0.000182098,0.000139732,0.000226331,0.00042505,0.000143197,0.00012954,0.000228522,0.000133849,6.33E-05,9.72E-05,7.83E-05,6.09E-05,7.79E-05,5.15E-05,0.000177054,0.000241261,0.000153437,0.000195031,0.000515209,0.000254828,8.64E-05,0.000189549,0.000154653,5.70E-05,4.08E-05,2.78E-05,8.02E-06,4.06E-05,4.41E-05,2.24E-06,1.22E-06,1.475409836,11.39344262,9.28E-07,1.91E-06,2.295081967,12.29508197,5.05E-07,3.57E-07,2.745901639,12.70491803,1.25E-06,7.01E-07,3.729508197,13.7295082,6.50E-07,7.00E-07,4.795081967,14.05737705,2.94E-05,4.43E-05,3.14E-05,4.40E-05,9.20E-05,4.37E-05,1.65E-05,3.78E-05,1.29E-05,2.17E-05,3.18E-05,2.07E-05,8.39E-06,1.04E-05,7.43E-06,1.95E-05,4.78E-05,4.70E-05,6.73E-05,6.04E-05,1.21E-06,1.49E-05,2.83E-05,1.01E-05,1.69E-05,1.79E-05,6.12E-06,6.33E-06,5.19E-06,1.24E-05
control,90_90,21082-1,2,7.59E-06,8.21E-06,1.31147541,11.18852459,5.80E-06,5.94E-06,1.926229508,11.8442623,5.70E-06,5.99E-06,2.704918033,12.66393443,4.06E-06,2.22E-06,3.68852459,13.7295082,2.49E-06,2.07E-06,4.508196721,14.42622951,0.000176061,0.000188226,0.000145233,0.000189528,0.000432096,0.00017968,0.000206723,0.000222963,9.18E-05,5.69E-05,0.000107869,9.30E-05,6.07E-05,8.77E-05,6.62E-05,0.000163415,0.000239299,0.000163858,0.000147265,0.000509107,0.000302867,0.000141109,0.000197627,0.000131335,6.31E-05,4.71E-05,2.74E-05,1.66E-05,4.30E-05,4.00E-05,2.41E-06,1.26E-06,1.475409836,11.39344262,9.38E-07,1.91E-06,2.295081967,12.29508197,5.73E-07,3.10E-07,2.704918033,12.66393443,1.29E-06,4.07E-08,3.68852459,14.05737705,5.59E-07,2.39E-07,4.795081967,14.95901639,3.16E-05,4.52E-05,3.03E-05,5.56E-05,9.17E-05,3.17E-05,1.66E-06,3.91E-05,2.43E-05,2.01E-05,3.16E-05,2.23E-05,7.76E-06,9.08E-06,5.77E-06,2.55E-05,4.85E-05,4.30E-05,7.18E-05,5.09E-05,8.37E-06,5.25E-06,2.55E-05,1.54E-05,1.36E-07,4.84E-06,8.07E-06,3.01E-07,4.24E-06,4.92E-06
control,90_90,21082-1,3,8.24E-06,8.41E-06,1.31147541,11.18852459,6.05E-06,6.01E-06,1.926229508,11.8852459,6.21E-06,6.01E-06,2.704918033,12.66393443,4.43E-06,2.14E-06,3.729508197,13.7295082,2.29E-06,2.06E-06,4.549180328,14.42622951,0.000184117,0.000200559,0.000152088,0.000171083,0.00044929,0.000213761,0.000197815,0.000232907,0.000107941,8.66E-05,0.000116774,7.57E-05,7.31E-05,7.94E-05,4.71E-05,0.000158841,0.000244532,0.000172162,0.000364418,0.000498859,7.83E-05,0.000128533,0.000192271,0.00013634,6.51E-05,4.70E-05,2.74E-05,1.34E-05,4.66E-05,4.53E-05,2.12E-06,,1.475409836,11.39344262,7.14E-07,1.91E-06,2.295081967,12.25409836,3.94E-07,2.68E-07,2.704918033,12.66393443,1.04E-06,,3.647540984,13.97540984,7.67E-07,1.45E-07,4.713114754,15,3.06E-05,4.28E-05,2.65E-05,6.03E-05,8.19E-05,1.88E-05,1.14E-05,3.36E-05,1.11E-05,1.64E-05,2.37E-05,1.82E-05,7.56E-06,1.21E-05,8.79E-06,2.87E-05,5.00E-05,4.00E-05,5.99E-05,6.94E-05,1.10E-05,1.21E-05,2.67E-05,9.79E-06,7.08E-07,4.07E-06,7.95E-06,8.08E-08,3.77E-06,4.78E-06
control,90_90,21082-2,1,8.43E-06,8.05E-06,1.270491803,11.18852459,1.02E-05,8.99E-06,1.926229508,11.8442623,8.93E-06,9.34E-06,2.704918033,12.66393443,5.41E-06,3.54E-06,3.729508197,13.7704918,1.27E-06,7.69E-07,4.590163934,15.28688525,0.000191919,0.000217536,0.000122255,0.000236682,0.000668717,0.00035374,0.000204579,0.000402847,0.000261486,0.000151092,0.000137164,7.00E-05,6.58E-05,9.02E-05,4.96E-05,0.000199779,0.00023408,0.000123939,0.000131168,0.000625601,0.000438481,0.000147821,0.000384138,0.000292949,8.45E-05,4.31E-05,2.92E-05,1.50E-05,5.00E-06,1.47E-05,4.94E-06,5.18E-06,1.229508197,11.14754098,6.82E-06,6.87E-06,1.926229508,11.8442623,5.52E-06,5.67E-06,2.745901639,12.66393443,3.39E-06,1.66E-06,3.68852459,13.7295082,3.30E-07,3.02E-07,4.754098361,14.67213115,0.000135671,0.000156178,6.23E-05,0.000146721,0.000417843,0.00024379,0.000155882,0.000206376,9.73E-05,4.93E-05,7.19E-05,5.59E-05,3.20E-05,2.13E-05,6.25E-06,0.000146112,0.000178053,7.26E-05,0.000122719,0.000426087,0.000285368,0.000100453,0.000183879,0.000129602,6.14E-05,3.95E-05,1.43E-05,2.05E-05,1.96E-05,8.58E-06
control,90_90,21082-2,2,8.57E-06,8.25E-06,1.270491803,11.18852459,1.01E-05,8.81E-06,1.926229508,11.8442623,9.32E-06,9.32E-06,2.704918033,12.66393443,5.39E-06,3.52E-06,3.68852459,13.7704918,1.15E-06,9.04E-07,5.163934426,15.24590164,0.000198494,0.000221323,0.000125421,0.00025352,0.000665133,0.00033139,0.00020459,0.000409795,0.000271763,0.00012845,0.000158825,0.000103877,3.86E-05,4.06E-05,7.91E-06,0.000193218,0.000218587,0.000120939,0.000148624,0.000617488,0.000409676,0.000161161,0.000396429,0.000298268,7.85E-05,3.68E-05,2.75E-05,1.53E-05,7.06E-06,1.00E-05,4.57E-06,4.85E-06,1.229508197,11.14754098,6.43E-06,6.80E-06,1.926229508,11.8442623,5.77E-06,5.73E-06,2.704918033,12.62295082,3.28E-06,2.11E-06,3.647540984,13.64754098,1.66E-07,2.52E-07,4.754098361,14.67213115,0.00012827,0.000135096,5.34E-05,0.00020934,0.000401443,0.000156097,0.00012719,0.000202787,0.000116542,5.98E-05,7.14E-05,4.89E-05,2.54E-05,8.54E-06,4.23E-07,0.000152253,0.000160942,5.09E-05,0.000212005,0.00043484,0.000190381,7.94E-05,0.000183095,0.000149972,6.65E-05,5.37E-05,2.32E-05,1.62E-05,1.24E-05,4.53E-06
control,90_90,21082-2,3,8.73E-06,8.48E-06,1.270491803,11.18852459,1.01E-05,8.79E-06,1.926229508,11.8442623,9.42E-06,9.33E-06,2.704918033,12.66393443,5.29E-06,3.29E-06,3.68852459,13.7704918,1.21E-06,8.93E-07,4.590163934,15.20491803,0.000201882,0.000218975,0.000130609,0.000295763,0.000677079,0.000300933,0.000229636,0.000411794,0.000257788,0.000137312,0.000157529,9.89E-05,7.73E-05,7.98E-05,2.27E-05,0.00019848,0.000219795,0.000121194,0.000169819,0.000627964,0.000392701,0.000183235,0.000402575,0.000285088,7.79E-05,3.95E-05,2.88E-05,1.67E-05,1.35E-05,2.29E-06,4.69E-06,5.06E-06,1.229508197,11.14754098,6.62E-06,6.89E-06,1.885245902,11.80327869,5.94E-06,6.16E-06,2.663934426,12.62295082,3.01E-06,1.62E-06,3.606557377,13.64754098,9.11E-08,1.49E-07,4.713114754,14.71311475,0.00013764,0.000128895,4.64E-05,9.46E-05,0.000385449,0.000268914,9.75E-05,0.000195704,0.000137146,6.21E-05,7.77E-05,5.00E-05,2.45E-05,1.33E-05,1.83E-06,0.000162763,0.000155234,4.66E-05,8.57E-05,0.00041141,0.000308805,0.000123866,0.00019016,0.000122408,6.60E-05,4.21E-05,1.42E-05,1.40E-05,8.35E-06,4.60E-06
control,90_90,21082-3,1,5.57E-06,5.52E-06,1.352459016,11.2704918,5.05E-06,4.56E-06,2.008196721,11.92622951,3.59E-06,3.76E-06,2.745901639,12.70491803,3.87E-06,2.68E-06,3.729508197,13.68852459,1.29E-06,1.00E-06,4.631147541,14.59016393,8.46E-05,0.000113303,0.000138884,0.00027112,0.000283924,6.77E-05,7.93E-05,0.000121879,9.03E-05,7.97E-05,9.93E-05,7.77E-05,2.46E-05,4.16E-05,2.97E-05,9.90E-05,0.000111614,0.000110228,0.000232119,0.000320762,0.000116673,8.19E-05,0.000112184,8.35E-05,8.20E-05,8.35E-05,4.34E-05,2.62E-06,1.72E-05,1.88E-05,6.43E-06,6.04E-06,1.270491803,11.18852459,6.95E-06,6.36E-06,2.008196721,11.96721311,5.59E-06,5.86E-06,2.786885246,12.70491803,2.79E-06,2.13E-06,3.770491803,13.93442623,1.88E-07,,5.081967213,,0.000133105,0.00013484,8.41E-05,0.000240163,0.00037779,0.000194197,9.47E-05,0.000143135,0.000106457,2.69E-05,4.21E-05,3.47E-05,1.74E-05,1.58E-05,7.26E-06,0.000133948,0.000159414,9.50E-05,0.000303197,0.000356438,0.000119192,8.94E-05,0.000162547,0.00012642,5.39E-06,7.13E-06,3.22E-05,,,
control,90_90,21082-3,2,5.78E-06,5.47E-06,1.352459016,11.2704918,5.07E-06,4.43E-06,1.967213115,11.92622951,3.52E-06,3.84E-06,2.745901639,12.70491803,3.91E-06,2.84E-06,3.729508197,13.68852459,1.34E-06,9.00E-07,4.631147541,14.54918033,8.71E-05,0.000118558,0.00014301,0.00017551,0.000323466,0.000171278,8.37E-05,0.000121428,8.83E-05,9.31E-05,0.000107394,7.47E-05,3.56E-05,4.60E-05,2.34E-05,9.63E-05,0.000114909,0.000116228,0.000241855,0.000309058,0.000101207,7.94E-05,0.000112127,8.89E-05,8.71E-05,7.89E-05,3.41E-05,9.19E-06,2.15E-05,2.09E-05,6.39E-06,6.32E-06,1.270491803,11.18852459,6.82E-06,6.60E-06,1.967213115,11.92622951,5.99E-06,6.10E-06,2.745901639,12.66393443,3.30E-06,3.26E-06,3.68852459,13.85245902,2.50E-07,,5.040983607,,0.000131746,0.000120671,8.96E-05,0.000207997,0.000389513,0.000225741,0.000120017,0.000173571,0.000112149,3.25E-05,5.15E-05,4.77E-05,2.70E-05,2.64E-05,3.50E-06,0.00014294,0.000149689,8.98E-05,0.000289902,0.000387296,0.000152661,0.000109602,0.000186911,0.000135998,2.47E-05,2.43E-05,2.86E-05,,,
